"option","target_relative"
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.272618505291746
"loglinear",0.1
"loglinear",0.1
"loglinear",0.146458186220104
"loglinear",0.333164691440674
"loglinear",0.1
"loglinear",0.810406023985692
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.282700217000622
"loglinear",0.1
"loglinear",0.343575498370265
"loglinear",0.326488887898555
"loglinear",0.142602545090918
"loglinear",0.218959467106522
"loglinear",0.164307736040323
"loglinear",0.1
"loglinear",0.486801035691912
"loglinear",0.1
"loglinear",0.209883283840514
"loglinear",0.1
"loglinear",0.192543242024229
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.435083873829645
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.404518641400309
"loglinear",0.37628488970756
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.46157451439088
"loglinear",0.1
"loglinear",0.344449496918663
"loglinear",0.346803333327659
"loglinear",0.201043375157009
"loglinear",0.1
"loglinear",0.180356837017272
"loglinear",0.344449496918663
"loglinear",0.143281360600866
"loglinear",0.1
"loglinear",0.1
"loglinear",0.105638417215259
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.12120775978573
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.795799211763259
"loglinear",0.1
"loglinear",0.1
"loglinear",0.295597274130285
"loglinear",0.203978194220896
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.466440557496935
"loglinear",0.1
"loglinear",0.480623441421247
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.120245229437693
"loglinear",0.107471044950435
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.150407243566729
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.404941470012894
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.744315074013228
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.266710711610468
"loglinear",0.1
"loglinear",0.110085711766269
"loglinear",0.1
"loglinear",0.187224466833317
"loglinear",0.28695528411852
"loglinear",0.1
"loglinear",0.215215242195186
"loglinear",0.1
"loglinear",0.800524190093093
"loglinear",0.107675947980245
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.468929160626092
"loglinear",0.47467144933682
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.478615198292446
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.264370522983824
"loglinear",0.565240898806694
"loglinear",0.327275697175685
"loglinear",0.176767306264097
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.187113165812435
"loglinear",1
"loglinear",1
"loglinear",0.887016774765929
"loglinear",0.143196353903372
"loglinear",0.143707051855431
"loglinear",1
"loglinear",0.196384198879172
"loglinear",0.0742908934222843
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.169917114982295
"loglinear",0.218959467106522
"loglinear",0.375222994494265
"loglinear",1
"loglinear",0.323379089178588
"loglinear",0.1
"loglinear",0.133945625573853
"loglinear",0.1
"loglinear",0.1
"loglinear",0.505301635079926
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.245330795471081
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.437650861350189
"loglinear",0.1
"loglinear",0.123450919114332
"loglinear",0.1
"loglinear",0.102960733365334
"loglinear",0.1
"loglinear",0.226574455736559
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.25771652404862
"loglinear",0.1
"loglinear",0.31708485780903
"loglinear",0.1
"loglinear",0.8572982992473
"loglinear",0.108635541618973
"loglinear",0.196855980217929
"loglinear",0.1
"loglinear",0.1
"loglinear",0.456849536061046
"loglinear",0.255162941712404
"loglinear",0.134347599485955
"loglinear",0.105976241872451
"loglinear",0.1
"loglinear",0.725116399302372
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.165375321712128
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.433058998861766
"loglinear",0.1
"loglinear",0.1
"loglinear",0.120466847879377
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.566376794265846
"loglinear",0.238022927924309
"loglinear",0.562992582626651
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.301998922606762
"loglinear",0.52617414253553
"loglinear",0.1
"loglinear",0.361363845212116
"loglinear",0.396686524407932
"loglinear",0.524402382278826
"loglinear",0.242180932454302
"loglinear",0.588305375390118
"loglinear",0.1
"loglinear",0.25600969862311
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",1
"loglinear",0.116450958918701
"loglinear",0.316345625980792
"loglinear",0.288398686809459
"loglinear",1
"loglinear",0.933909050027536
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.23234498183822
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.0889521437466643
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.530689676135296
"loglinear",0.289437570751629
"loglinear",0.39871138339563
"loglinear",0.456849536061046
"loglinear",0.193581831767185
"loglinear",0.871481183171612
"loglinear",0.174795294668435
"loglinear",0.492495949899025
"loglinear",0.277581428245377
"loglinear",0.1
"loglinear",0.1
"loglinear",0.291958244778823
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.39871139937581
"loglinear",0.285728174141739
"loglinear",0.227569663687495
"loglinear",0.220045235242761
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.217076603973826
"loglinear",0.403256696990685
"loglinear",0.1
"loglinear",0.722125483483706
"loglinear",0.129588127379937
"loglinear",0.268717456292054
"loglinear",0.116884278638887
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.319824423787991
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.217076603973826
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.338991707003566
"loglinear",0.1
"loglinear",0.166156163151469
"loglinear",0.1
"loglinear",0.384290979785179
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.0819974580787996
"loglinear",0.1
"loglinear",0.0907836444186215
"loglinear",0.0965903602820438
"loglinear",0.1
"loglinear",0.1
"loglinear",0.176037997044068
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.110571969263571
"loglinear",0.436105822874685
"loglinear",0.1
"loglinear",1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.126951527782761
"loglinear",0.473377789064218
"loglinear",0.1
"loglinear",0.1
"loglinear",0.361363845212116
"loglinear",0.23308087626535
"loglinear",0.702597847331732
"loglinear",1
"loglinear",0.334533272774802
"loglinear",0.786741307200802
"loglinear",0.1
"loglinear",0.1
"loglinear",0.1
"loglinear",0.626316057992613
"loglinear",0.722125483483706
"loglinear",0.669411148658501
"loglinear",0.492495877770595
"loglinear",0.805389839771736
"loglinear",0.838097222575565
"loglinear",0.146025250138899
"loglinear",0.465824298393314
"loglinear",0.820925824793465
"loglinear",0.610630856164067
"loglinear",0.514987672746281
"loglinear",0.377711597623421
"loglinear",0.627970897980352
"loglinear",0.774033549531858
"loglinear",0.551152371086897
"loglinear",0.372424636688246
"loglinear",1
"loglinear",0.850644300312095
"loglinear",1
"loglinear",0.305181736064423
"loglinear",0.850644300312095
"loglinear",0.659025449329908
"loglinear",0.393103955167442
"loglinear",0.758497957937541
"loglinear",0.280514926833473
"loglinear",1
"loglinear",0.633038674204667
