"option","ctype","category","year","y","sd","variable","scale","art"
"loglinear","cdda","Species","<2000",0.157357502275852,0.164330600027384,"species","EU","Art_17"
"loglinear","cdda","Species","2000-2006",0.190988389425619,0.195823792385025,"species","EU","Art_17"
"loglinear","cdda","Species","2006-2012",0.204610529386136,0.205319070044586,"species","EU","Art_17"
"loglinear","cdda","Species","2012-2018",0.216721914281134,0.217884406052317,"species","EU","Art_17"
"loglinear","cdda","Species","2018-2024",0.222672020675225,0.224898182149771,"species","EU","Art_17"
"loglinear","combined","Species","2000-2006",0.276735901846763,0.260177599350504,"species","EU","Art_17"
"loglinear","combined","Species","2012-2018",0.320643169402109,0.29059239450073,"species","EU","Art_17"
"loglinear","combined","Species","2018-2024",0.323966966258511,0.293409231748384,"species","EU","Art_17"
"loglinear","natura2000","Species","<2000",0.139892941836478,0.16187679280665,"species","EU","Art_17"
"loglinear","natura2000","Species","2000-2006",0.213594147738676,0.211037011794972,"species","EU","Art_17"
"loglinear","natura2000","Species","2006-2012",0.261199252882271,0.248685119351397,"species","EU","Art_17"
"loglinear","natura2000","Species","2012-2018",0.274180415444963,0.254811679479458,"species","EU","Art_17"
"loglinear","natura2000","Species","2018-2024",0.275507370966531,0.255462256691486,"species","EU","Art_17"
